AOA		Group	KR	k-pop,Korean,electronic,pop,japanese,female vocalists,girl group,Kpop,dance,experimental,psychedelic,aoa,FNC MUSIC,j-pop,10s,boredoms,trance,black metal,punk rock,Asian,2012,C-pop,Girl Groups,south korea,girlband,Ace Of Angels,Soundtrack,punk,sexy,Experimental Rock,Avant-Garde,spiritual,band,anime,hot,chinese,Jam,punkrock,cantonese,boyband,Test Tag,7,2010s,<3,hey,Korea,All,Goa Trance,idol,best of 2017,love them,pretty cool,new weird japan,Exid,sunmi,girlgroup,2010s pop,Asian Pop,bestie,boogiepop phantom,2017,2018,Rania,korean female vocalists,girband,great discovery,my angels,korean girl groups,asian group,CUTEGIRLS,10s pop,best of 10s,fnc,ace of angel,best of 2010s,Brave Sound,asian girl groups,favorite girlband,best of 2016,aoa black,brave sound drop it,Casaco migo choa,Choa me ama de volta,Choa meu amor,Choa rainha,Te amo choa,jimin aoa,2010s girl groups,10s girl groups,best of 10s pop,best of 2010s pop,2017 pop,2017 k-pop,kpop girl group
ABBA		Group	SE	pop,Disco,70s,swedish,80s,abba,dance,female vocalists,oldies,Sweden,rock,Europop,scandinavian,classic rock,Eurovision,Swedish Pop,pop rock,happy,easy listening,electronic,Pop-Rock,classic,legend,soft rock,70's,guilty pleasure,female vocalist,fun,male vocalists,classic pop,euro-pop,Eurovision Song Contest,favorites,singer-songwriter
Vina Morales	Female	Person	PH	pop,Vina Morales,philippines
Air Supply		Group	AU	80s,pop,soft rock,classic rock,rock,australian,Air Supply,70s,male vocalists,romantic,love songs,Ballad,adult contemporary,oldies,Love,australia,pop rock,singer-songwriter,seen live,easy listening,british,alternative,cheese,male vocalist,english,Disco,country,indie,folk,80's,romantico,soul,ambient,dance,favorites,guilty pleasure,Favorite,classic,female vocalists,funk,90s,england,musical,melbourne,Pop-Rock,80s Pop,boybands,air suply,uncool but I still love them
Phum Viphurit				
Aurora				
Sharon Van Etten	Female	Person	US	folk,seen live,singer-songwriter,female vocalists,indie folk,acoustic,indie,american,indie rock,alternative,Brooklyn,folk rock,acousticindiefolk,USA,new york,contemporary folk,Mellow,female vocalist,new jersey,folk-delica,Lo-Fi,melancholy,New Weird America,indie133,pop,folk noir,slowcore,00s,alt-folk,rock,haunting,psychedelic folk,10s,United States,hayfields and sunshine,Sharon Van Etten,F O L K,female,indie pop,folk-rock,shoegaze,Awesome,psychedelic,clinton,Alt-country,fragile,Alternative Folk,singer-songwriters,Singer/Songwriter,female artists,warm,female vocal,Female Voices,2000s,lo fi,acoustic guitar,honey,All,photographed,seen live 2 times,bands i've seen live,opener seen live
Breaking Benjamin		Group	US	alternative rock,rock,hard rock,alternative,metal,post-grunge,alternative metal,breaking benjamin,Nu Metal,american,seen live,emo,Grunge,male vocalists,Post Grunge,Nu-metal,indie,Progressive rock,modern rock,USA,00s,punk rock,punk
Wednesday Campanella				
Franz Ferdinand		Group	GB	indie,indie rock,rock,alternative,seen live,britpop,british,alternative rock,Scottish,franz ferdinand,pop,post-punk,Post-punk revival,UK,indie pop,00s,new wave,art rock,dance,dance rock,glasgow,male vocalists,scotland,punk,favorites,brit rock,Britrock,electronic,pop rock,Garage Rock,Post punk
KAMIJO	Male	Person	JP	visual kei,japanese,J-rock,jrock,psych,symphonic metal,seen live,rock,metal,japan,Japanese Symphonic Metal,folk rock,Power metal,neo-classical metal,asia,Versailles,male voice,Megadeth,Testament,exodus,Kamijo,kkk,haohmaru,heavy metal,singer-songwriter,epic,folk-rock,symphonic,visual,neo classical,symphonic power metal,neoclassical metal,active,melodic rock,unique voice,neo-classical rock,japanese metal,J-Metal,amazing vocals,Japanese power metal,Solo Project,Visual-kei,Indies,very favorite,epic voice,baroque metal,BISHOUNENS,total eargasm,tacky castlevania gothic,rose petals rain from the sky as senpai finally notices you,if matenrou opera had talent,2013-,J-Rock MP3 on Amazon,j-rock on spotify
Mondo Grosso	Male	Person	JP	acid jazz,japanese,electronic,House,dance,electronica,jazz,japan,lounge,downtempo,club,nu jazz,funk,nu-jazz,j-pop,shibuya-kei,groove,soul,JPop,mondo grosso,electro,techno,Japanese music,trance,alternative,jazz funk,funky,J-jazz,jazzy,japanese house,chillout,trip-hop,indie,chill,Bossa Nova,ambient,Drum and bass,breakbeat,smooth,garage,cool,2-step,Acid-Jazz,acidjazz,Favorite artist
Foals		Group	GB	indie,math rock,indie rock,british,seen live,electronic,alternative,experimental,rock,dance punk,dance-punk,indietronica,new rave,post-punk,alternative rock,UK,oxford,dance,FOALS,electronica,00s,Math-rock,male vocalists,english,indie pop,math,post-rock,indie-disco,dance rock,electro,want to see live,Post-punk revival
Joan Baez	Female	Person	US	folk,singer-songwriter,female vocalists,60s,classic rock,folk rock,political,Joan Baez,acoustic,rock,seen live,blues,american,70s,country,female vocalist,oldies,folk-rock,female,woodstock,pop,USA,traditional folk,contemporary folk,hippie,political folk,Folk Revival,guitar,new york,americana,Protest,Talented Ladies
Hippo Campus				
boy pablo				
Gang of Youths				
Mud Flow		Group	BE	rock,belgian,seen live,alternative,belgian rock,alternative rock,indie rock,Belgium,indie,00s,00s rock,00s alternative,The Demo Saou,All,Belgian music,duyster,rock belge,pop,experimental,indie pop,post-rock,Lo-Fi,Awesome,underrated,alternative pop,Belge,brussels,belgian music scene,belgian rock scene,actual,not available on Last-fm radio yet,nono,scene Belge,belgian indie,Mud Flow,life is strange,palomine,liben,Indie rock and alternative rock
Rilo Kiley		Group	US	indie,female vocalists,indie rock,indie pop,seen live,alternative,rock,folk,pop,american,Rilo Kiley,Alt-country,favorites,female vocalist,Saddle Creek,emo,alternative rock,singer-songwriter,female,00s,jenny lewis,los angeles,Love,Favorite,California,Mellow,female vocals,indie folk,USA,electronic,beautiful,chillout,punk,Favorite Artists,acoustic,country,amazing,want to see live
Owen Pallett	Male	Person	CA	seen live,singer-songwriter,chamber pop,indie,Canadian,violin,indie pop,baroque pop,experimental,pop,folk,canada,folktronica,male vocalists,electronic,queer,orchestral,gay,00s,toronto,ontario,alternative,pretty,lovely,art pop,instrumental,indie rock,acoustic,orchestral pop,rock,Love,indietronica,genius,modern classical,elf music
Joanna Newsom	Female	Person	US	folk,singer-songwriter,female vocalists,indie,freak folk,seen live,New Weird America,harp,indie folk,alternative,experimental,acoustic,american,female vocalist,indie rock,female,Joanna Newsom,Avant-Garde,beautiful,00s,quirky,chamber folk,indie pop,psychedelic folk,progressive folk,USA,americana,contemporary folk,Mellow,Alt-country,harpist,California,Love,favorites,Lo-Fi,weird,anti-folk,chillout,baroque pop,psychedelic,rock,female vocals,unique,sweet,poetic
